City,RegionName,avg,zip,count,City_catagory,population,poverty_count,median_household_income,zipcode,poverty_rate
Cameron,28326,144667.10204081633,28326,5,47,23385.0,3280.0,61299.0,28326,14.026085097284586
Candler,28715,199649.7037037037,28715,5,48,26318.0,3319.0,53594.0,28715,12.611140664184209
Canton,28716,157116.90476190476,28716,5,49,17807.0,2681.0,49018.0,28716,15.055876902341776
Carolina Beach,28428,308403.2324324324,28428,1,50,6533.0,603.0,71250.0,28428,9.230062758303994
Carrboro,27510,275490.2970711297,27510,3,51,15528.0,2471.0,53155.0,27510,15.91318907779495
Cary,27511,189716.91836734695,27511,7,52,34525.0,3653.0,74339.0,27511,10.580738595220852
Cary,27513,209685.32653061225,27513,7,52,44821.0,2443.0,92858.0,27513,5.45057004529127
Cary,27518,276972.92176870746,27518,1,52,20875.0,918.0,106833.0,27518,4.3976047904191615
Cary,27519,236727.09863945577,27519,11,52,55111.0,1916.0,130337.0,27519,3.4766199125401465
Casar,28020,117371.12925170068,28020,1,53,2082.0,301.0,42700.0,28020,14.457252641690678
Cashiers,28717,525615.5351351352,28717,3,54,1640.0,240.0,41108.0,28717,14.634146341463413
Castle Hayne,28429,154234.2125984252,28429,3,55,7525.0,707.0,49346.0,28429,9.395348837209305
Catawba,28609,149473.25510204083,28609,3,56,5788.0,467.0,59495.0,28609,8.068417415342086
Chapel Hill,27514,309018.669456067,27514,5,57,32304.0,3901.0,70849.0,27514,12.075903912828133
Chapel Hill,27516,249163.94265232974,27516,13,57,41551.0,5747.0,85615.0,27516,13.83119539842603
Chapel Hill,27517,277509.024911032,27517,5,57,24092.0,2085.0,84940.0,27517,8.654325087165864
Charlotte,28202,348583.7653061224,28202,4,58,12745.0,1354.0,90972.0,28202,10.623774029030992
Charlotte,28203,342611.14965986396,28203,2,58,15946.0,2313.0,81094.0,28203,14.505205067101466
Charlotte,28204,319609.193877551,28204,3,58,6725.0,1148.0,61700.0,28204,17.070631970260223
Charlotte,28205,176621.82993197278,28205,11,58,48539.0,10702.0,49378.0,28205,22.04824986093657
Charlotte,28206,114918.12925170068,28206,6,58,11919.0,3480.0,31617.0,28206,29.197080291970803
Charlotte,28207,583405.2346938775,28207,2,58,9539.0,485.0,129886.0,28207,5.08439039731628
Charlotte,28208,99184.83333333333,28208,11,58,39700.0,9954.0,34925.0,28208,25.073047858942065
Charlotte,28209,255321.2857142857,28209,6,58,22694.0,2830.0,72535.0,28209,12.47025645545078
Charlotte,28210,208788.2380952381,28210,8,58,48304.0,5086.0,68692.0,28210,10.529148724743294
Charlotte,28211,269642.3231292517,28211,8,58,30789.0,3507.0,84366.0,28211,11.390431647666373
Charlotte,28212,122345.10204081633,28212,8,58,45694.0,11593.0,39439.0,28212,25.370945857224147
Charlotte,28213,129184.13605442178,28213,4,58,40724.0,8142.0,43984.0,28213,19.993124447500247
Charlotte,28214,129456.57823129251,28214,8,58,41356.0,5248.0,60837.0,28214,12.68981526259793
Charlotte,28215,128027.6156462585,28215,10,58,62533.0,10998.0,50305.0,28215,17.587513792717445
Charlotte,28216,123011.23129251701,28216,8,58,51116.0,7238.0,48647.0,28216,14.159949917833949
Charlotte,28217,121509.41156462584,28217,3,58,29410.0,6806.0,49230.0,28217,23.141788507310444
Charlotte,28226,201995.1530612245,28226,2,58,39631.0,2604.0,94492.0,28226,6.570613913350661
Charlotte,28262,137603.55102040817,28262,11,58,43046.0,7613.0,53261.0,28262,17.68573154300051
Charlotte,28269,145113.92517006802,28269,10,58,76811.0,5341.0,64803.0,28269,6.953431149184363
Charlotte,28270,196036.7993197279,28270,3,58,35059.0,1273.0,95224.0,28270,3.6310219915000426
Charlotte,28273,149839.1326530612,28273,10,58,39483.0,3705.0,63687.0,28273,9.383785426639315
Charlotte,28277,211061.54761904763,28277,11,58,71605.0,2660.0,105885.0,28277,3.7148243837720822
Charlotte,28278,188199.1224489796,28278,4,58,27286.0,1257.0,90282.0,28278,4.606758044418383
Cherryville,28021,110738.73880597015,28021,4,59,13991.0,1864.0,45606.0,28021,13.322850403831037
China Grove,28023,152666.69411764707,28023,7,60,15623.0,2442.0,54626.0,28023,15.630800742495039
Chocowinity,27817,169042.81292517006,27817,3,61,7773.0,1391.0,50526.0,27817,17.895278528238773
Claremont,28610,131375.02721088435,28610,5,62,10120.0,964.0,55997.0,28610,9.525691699604744
Clayton,27520,145705.55782312926,27520,8,63,40611.0,2700.0,65190.0,27520,6.6484450025855075
Clayton,27527,184954.36029411765,27527,4,63,23160.0,1307.0,87313.0,27527,5.643350604490501
Clemmons,27012,170945.0850340136,27012,4,64,27478.0,1580.0,80045.0,27012,5.750054589125846
Cleveland,27013,138380.85283018867,27013,2,65,6135.0,871.0,51372.0,27013,14.197229013854933
Climax,27233,150866.4135338346,27233,1,66,3643.0,168.0,67278.0,27233,4.611583859456491
Clyde,28721,192448.85164835164,28721,4,67,10152.0,1622.0,46290.0,28721,15.977147360126086
Coats,27521,114497.71505376344,27521,1,68,6111.0,1279.0,44231.0,27521,20.929471444935363
Collettsville,28611,104869.80334728034,28611,1,69,1162.0,171.0,61810.0,28611,14.716006884681585
Columbia,27925,94943.70629370629,27925,3,70,3991.0,863.0,37674.0,27925,21.623653219744426
Concord,28025,141765.18027210885,28025,14,71,54829.0,8376.0,54774.0,28025,15.27658720749968
Concord,28027,156092.60204081633,28027,17,71,63423.0,4694.0,71067.0,28027,7.40110054712013
Conover,28613,125222.18027210885,28613,5,72,22233.0,3053.0,54585.0,28613,13.73184005757208
Conway,27820,65144.51063829787,27820,2,73,2211.0,424.0,39839.0,27820,19.17684305744007
Cooleemee,27014,75292.81868131868,27014,1,74,854.0,260.0,37143.0,27014,30.444964871194376
Cornelius,28031,210485.9149659864,28031,5,75,27460.0,2034.0,89823.0,28031,7.407137654770576
Corolla,27927,287160.7074829932,27927,1,76,932.0,89.0,65795.0,27927,9.549356223175966
Cove City,28523,126548.464,28523,1,77,2364.0,299.0,62533.0,28523,12.648054145516074
Cramerton,28032,138935.1098901099,28032,1,78,3296.0,570.0,59071.0,28032,17.29368932038835
Creedmoor,27522,147752.04421768707,27522,7,79,11861.0,1133.0,65589.0,27522,9.55231430739398
Cullowhee,28723,248314.47282608695,28723,1,80,11182.0,2562.0,33180.0,28723,22.9118225719907
Currituck,27929,243546.9863945578,27929,1,81,1711.0,104.0,80185.0,27929,6.078316773816482
Dallas,28034,121811.2673992674,28034,5,82,17327.0,2486.0,46423.0,28034,14.347550066370404
Danbury,27016,118664.58474576271,27016,1,83,1395.0,145.0,50263.0,27016,10.394265232974911
Davidson,28036,233658.42176870749,28036,2,84,17824.0,700.0,117685.0,28036,3.927289048473968
Deep Run,28525,89620.60204081633,28525,1,85,2919.0,709.0,36373.0,28525,24.289140116478247
Denton,27239,120796.94217687075,27239,3,86,9066.0,1268.0,48091.0,27239,13.986322523714977
Denver,28037,204332.39115646257,28037,6,87,20110.0,1449.0,75516.0,28037,7.2053704624564885
Dobson,27017,126589.13978494624,27017,6,88,9236.0,1461.0,41201.0,27017,15.818536162841056
Dudley,28333,68839.95238095238,28333,3,89,11075.0,4797.0,30172.0,28333,43.313769751693
Dunn,28334,105956.34013605442,28334,7,90,24780.0,6009.0,36751.0,28334,24.24939467312349
Durham,27701,165425.77580071174,27701,8,91,22849.0,6448.0,36606.0,27701,28.220053394021626
Durham,27703,160027.8612099644,27703,13,91,51163.0,7943.0,60438.0,27703,15.52489103453668
Durham,27704,133252.94306049822,27704,12,91,39281.0,8620.0,46720.0,27704,21.9444515160001
Durham,27705,189400.2953736655,27705,5,91,49019.0,7336.0,52256.0,27705,14.965625573757114
Durham,27707,168111.8896797153,27707,15,91,51168.0,8112.0,51851.0,27707,15.853658536585364
Durham,27712,174228.5765124555,27712,6,91,21100.0,1024.0,83418.0,27712,4.853080568720379
Durham,27713,184610.40925266905,27713,5,91,54621.0,6305.0,74077.0,27713,11.543179363248568
East Bend,27018,132665.04,27018,5,92,7714.0,850.0,45714.0,27018,11.018926626912107
East Flat Rock,28726,150124.27040816325,28726,3,93,3219.0,272.0,36054.0,28726,8.449829139484311
Eden,27288,96721.57439446366,27288,7,94,23689.0,4768.0,37384.0,27288,20.127485330744232
Efland,27243,167813.48535564853,27243,2,95,4431.0,276.0,66975.0,27243,6.2288422477995935
Elizabeth City,27909,150215.40322580645,27909,12,96,39515.0,5999.0,48277.0,27909,15.181576616474755
Elkin,28621,109245.32374100719,28621,4,97,10499.0,1835.0,47034.0,28621,17.477855033812745
Ellenboro,28040,87105.42517006803,28040,1,98,7738.0,1283.0,38957.0,28040,16.580511760144738
Ellerbe,28338,76776.40983606558,28338,2,99,4663.0,530.0,45260.0,28338,11.366073343341196
Elm City,27822,109162.15849056604,27822,4,100,8459.0,1215.0,47181.0,27822,14.363399929069633
Elon,27244,150062.84353741497,27244,4,101,15535.0,2031.0,57511.0,27244,13.073704538139687
Enfield,27823,47664.76425855514,27823,3,102,7890.0,2148.0,31951.0,27823,27.224334600760454
Erwin,28339,83378.93548387097,28339,3,103,7357.0,1380.0,40464.0,28339,18.7576457795297
Etowah,28729,215792.70256410257,28729,1,104,3271.0,120.0,52702.0,28729,3.6686028737389176
Fairmont,28340,58573.5,28340,5,105,9657.0,2775.0,30026.0,28340,28.73563218390805
Fairview,28730,259515.9962406015,28730,1,106,9248.0,649.0,62995.0,28730,7.017733564013841
Farmville,27828,106026.53804347826,27828,4,109,9489.0,2519.0,37305.0,27828,26.546527558225318
Fayetteville,28301,61919.8231292517,28301,15,110,17600.0,6167.0,26261.0,28301,35.03977272727273
Fayetteville,28303,104724.90476190476,28303,9,110,29414.0,5981.0,39896.0,28303,20.333854627048346
Fayetteville,28304,91304.9387755102,28304,15,110,36404.0,6624.0,48358.0,28304,18.195802659048454
Fayetteville,28305,129781.05782312925,28305,4,110,5705.0,811.0,50020.0,28305,14.215600350569675
Fayetteville,28306,114846.86054421769,28306,11,110,41944.0,7119.0,51597.0,28306,16.972630173564752
Fayetteville,28311,108021.76530612246,28311,6,110,35641.0,5681.0,47534.0,28311,15.939507870149546
Fayetteville,28312,114104.6156462585,28312,4,110,19196.0,3435.0,44683.0,28312,17.894352990206293
Fayetteville,28314,103629.91496598639,28314,6,110,58110.0,9818.0,47873.0,28314,16.89554293581139
Ferguson,28624,199964.44268774704,28624,1,111,1339.0,300.0,32432.0,28624,22.404779686333082
Flat Rock,28731,234623.53543307088,28731,2,112,8354.0,792.0,55611.0,28731,9.480488388795788
Fletcher,28732,201334.66296296296,28732,2,113,17479.0,1305.0,59993.0,28732,7.466102179758567
Forest City,28043,84677.05442176871,28043,7,114,21075.0,5102.0,35484.0,28043,24.208778173190986
Fort Bragg,28307,70409.51851851853,28307,5,115,17830.0,1757.0,40559.0,28307,9.854178351093662
Four Oaks,27524,126946.69485294117,27524,3,116,13916.0,2157.0,48052.0,27524,15.500143719459613
Franklinton,27525,138326.59863945577,27525,5,117,14323.0,2295.0,51570.0,27525,16.02317950150108
Franklinville,27248,112942.31578947368,27248,2,118,4249.0,396.0,44832.0,27248,9.319839962344082
Fremont,27830,86480.16666666667,27830,2,119,4841.0,834.0,44366.0,27830,17.227845486469732
Fuquay Varina,27526,177953.54513888888,27526,6,120,47425.0,4218.0,76880.0,27526,8.894043226146547
Garner,27529,162528.7142857143,27529,12,121,48833.0,5650.0,60801.0,27529,11.570044846722505
Gaston,27832,69458.7327586207,27832,5,122,3001.0,507.0,36089.0,27832,16.894368543818732
Gastonia,28052,91542.23443223443,28052,13,123,35302.0,9109.0,36243.0,28052,25.80307064755538
Gastonia,28054,121015.6336996337,28054,7,123,37335.0,5830.0,43422.0,28054,15.615374313646713
Gastonia,28056,141845.9597069597,28056,5,123,34401.0,4085.0,63563.0,28056,11.87465480654632
Gates,27937,112500.17486338798,27937,1,124,4546.0,629.0,56523.0,27937,13.836339639243294
Gatesville,27938,95901.44198895028,27938,3,125,1261.0,47.0,47273.0,27938,3.727200634417129
Germanton,27019,130451.47278911565,27019,1,126,4139.0,267.0,57075.0,27019,6.45083353467021
Gibson,28343,53997.28571428572,28343,1,127,1404.0,315.0,39531.0,28343,22.43589743589744
Gibsonville,27249,135029.77210884355,27249,3,128,12447.0,1961.0,54516.0,27249,15.754800353498835
Gold Hill,28071,152500.63605442178,28071,1,129,2649.0,412.0,43551.0,28071,15.553038882597209
Goldsboro,27530,108888.07482993197,27530,14,130,38865.0,9883.0,36283.0,27530,25.429049273124924
Goldsboro,27534,124316.6530612245,27534,8,130,32233.0,3971.0,48270.0,27534,12.31967238544349
Graham,27253,156045.9393939394,27253,11,131,30544.0,5421.0,44902.0,27253,17.748166579360927
Granite Falls,28630,117855.33454545455,28630,6,132,20007.0,3167.0,50190.0,28630,15.829459689108813
Greensboro,27301,138719.3469387755,27301,4,133,8826.0,734.0,62490.0,27301,8.316338092000906
Greensboro,27401,94780.47278911565,27401,11,133,22105.0,4033.0,35153.0,27401,18.24474100882153
Greensboro,27403,120808.47278911565,27403,4,133,22569.0,5026.0,45566.0,27403,22.269484691390844
Greensboro,27405,105227.30952380953,27405,12,133,48990.0,12116.0,36462.0,27405,24.731577873035317
Greensboro,27406,111167.91156462584,27406,17,133,63465.0,14973.0,41097.0,27406,23.592531316473647
