City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate
57,27514,467257.3054393305,27514,5,32304.0,3901.0,70849.0,27514,12.075903912828133
57,27516,381197.6487455197,27516,13,41551.0,5747.0,85615.0,27516,13.83119539842603
57,27517,436292.97864768683,27517,5,24092.0,2085.0,84940.0,27517,8.654325087165864
58,28202,483820.7789115646,28202,4,12745.0,1354.0,90972.0,28202,10.623774029030992
58,28203,615270.7006802721,28203,2,15946.0,2313.0,81094.0,28203,14.505205067101466
58,28204,513720.0442176871,28204,3,6725.0,1148.0,61700.0,28204,17.070631970260223
58,28205,296312.0680272109,28205,11,48539.0,10702.0,49378.0,28205,22.04824986093657
58,28206,109350.29591836735,28206,6,11919.0,3480.0,31617.0,28206,29.197080291970803
58,28207,891794.6020408163,28207,2,9539.0,485.0,129886.0,28207,5.08439039731628
58,28208,126528.58503401361,28208,11,39700.0,9954.0,34925.0,28208,25.073047858942065
58,28209,461309.7074829932,28209,6,22694.0,2830.0,72535.0,28209,12.47025645545078
58,28210,337754.27210884355,28210,8,48304.0,5086.0,68692.0,28210,10.529148724743294
58,28211,429972.35034013604,28211,8,30789.0,3507.0,84366.0,28211,11.390431647666373
58,28212,145418.76530612246,28212,8,45694.0,11593.0,39439.0,28212,25.370945857224147
58,28213,179050.14965986394,28213,4,40724.0,8142.0,43984.0,28213,19.993124447500247
58,28214,173103.01700680272,28214,8,41356.0,5248.0,60837.0,28214,12.68981526259793
58,28215,170277.19047619047,28215,10,62533.0,10998.0,50305.0,28215,17.587513792717445
58,28216,172122.28911564627,28216,8,51116.0,7238.0,48647.0,28216,14.159949917833949
58,28217,136738.35714285713,28217,3,29410.0,6806.0,49230.0,28217,23.141788507310444
58,28226,343919.8333333333,28226,2,39631.0,2604.0,94492.0,28226,6.570613913350661
58,28262,180577.80952380953,28262,11,43046.0,7613.0,53261.0,28262,17.68573154300051
58,28269,201168.8843537415,28269,10,76811.0,5341.0,64803.0,28269,6.953431149184363
58,28270,313179.93537414965,28270,3,35059.0,1273.0,95224.0,28270,3.6310219915000426
58,28273,189053.5612244898,28273,10,39483.0,3705.0,63687.0,28273,9.383785426639315
58,28277,320594.1394557823,28277,11,71605.0,2660.0,105885.0,28277,3.7148243837720822
58,28278,249090.27891156462,28278,4,27286.0,1257.0,90282.0,28278,4.606758044418383
59,28021,165227.56505576207,28021,4,13991.0,1864.0,45606.0,28021,13.322850403831037
60,28023,241765.4,28023,7,15623.0,2442.0,54626.0,28023,15.630800742495039
61,27817,304810.15646258503,27817,3,7773.0,1391.0,50526.0,27817,17.895278528238773
62,28610,184581.10544217686,28610,5,10120.0,964.0,55997.0,28610,9.525691699604744
63,27520,220108.3775510204,27520,8,40611.0,2700.0,65190.0,27520,6.6484450025855075
63,27527,257701.6936170213,27527,4,23160.0,1307.0,87313.0,27527,5.643350604490501
64,27012,257147.05102040817,27012,4,27478.0,1580.0,80045.0,27012,5.750054589125846
65,27013,201513.51865671642,27013,2,6135.0,871.0,51372.0,27013,14.197229013854933
66,27233,205841.72448979592,27233,1,3643.0,168.0,67278.0,27233,4.611583859456491
67,28721,238188.19565217392,28721,4,10152.0,1622.0,46290.0,28721,15.977147360126086
68,27521,179808.14054054054,27521,1,6111.0,1279.0,44231.0,27521,20.929471444935363
69,28611,240070.9375,28611,1,1162.0,171.0,61810.0,28611,14.716006884681585
70,27925,100355.82517482518,27925,3,3991.0,863.0,37674.0,27925,21.623653219744426
71,28025,210360.5306122449,28025,14,54829.0,8376.0,54774.0,28025,15.27658720749968
71,28027,238144.42517006802,28027,17,63423.0,4694.0,71067.0,28027,7.40110054712013
72,28612,151745.19696969696,28612,4,12338.0,2390.0,37813.0,28612,19.37104879234884
73,28613,185435.74829931973,28613,5,22233.0,3053.0,54585.0,28613,13.73184005757208
74,27820,70688.18791946309,27820,2,2211.0,424.0,39839.0,27820,19.17684305744007
75,27014,130013.48587570622,27014,1,854.0,260.0,37143.0,27014,30.444964871194376
76,28031,343625.7789115646,28031,5,27460.0,2034.0,89823.0,28031,7.407137654770576
77,27927,421638.4090909091,27927,1,932.0,89.0,65795.0,27927,9.549356223175966
78,28523,145365.8015873016,28523,1,2364.0,299.0,62533.0,28523,12.648054145516074
79,28032,354734.2148148148,28032,1,3296.0,570.0,59071.0,28032,17.29368932038835
80,27522,187071.10544217686,27522,7,11861.0,1133.0,65589.0,27522,9.55231430739398
81,28723,342605.0923913043,28723,1,11182.0,2562.0,33180.0,28723,22.9118225719907
82,27929,256894.79591836734,27929,1,1711.0,104.0,80185.0,27929,6.078316773816482
83,28034,159083.20146520148,28034,5,17327.0,2486.0,46423.0,28034,14.347550066370404
84,27016,157039.515625,27016,1,1395.0,145.0,50263.0,27016,10.394265232974911
85,28036,395343.7755102041,28036,2,17824.0,700.0,117685.0,28036,3.927289048473968
86,28525,125190.04864864865,28525,1,2919.0,709.0,36373.0,28525,24.289140116478247
87,27239,200456.90476190476,27239,3,9066.0,1268.0,48091.0,27239,13.986322523714977
88,28037,367759.72300469485,28037,6,20110.0,1449.0,75516.0,28037,7.2053704624564885
89,27017,174732.45652173914,27017,6,9236.0,1461.0,41201.0,27017,15.818536162841056
90,28333,106729.58503401361,28333,3,11075.0,4797.0,30172.0,28333,43.313769751693
91,28334,156135.10884353743,28334,7,24780.0,6009.0,36751.0,28334,24.24939467312349
92,27701,243018.63345195728,27701,8,22849.0,6448.0,36606.0,27701,28.220053394021626
92,27703,215141.96085409253,27703,13,51163.0,7943.0,60438.0,27703,15.52489103453668
92,27704,169773.487544484,27704,12,39281.0,8620.0,46720.0,27704,21.9444515160001
92,27705,322801.5943060498,27705,5,49019.0,7336.0,52256.0,27705,14.965625573757114
92,27707,289344.29893238435,27707,15,51168.0,8112.0,51851.0,27707,15.853658536585364
92,27712,243823.14946619218,27712,6,21100.0,1024.0,83418.0,27712,4.853080568720379
92,27713,254019.5480427046,27713,5,54621.0,6305.0,74077.0,27713,11.543179363248568
93,27018,159916.44,27018,5,7714.0,850.0,45714.0,27018,11.018926626912107
94,28726,175227.33163265305,28726,3,3219.0,272.0,36054.0,28726,8.449829139484311
95,27288,135504.98961937716,27288,7,23689.0,4768.0,37384.0,27288,20.127485330744232
96,27243,291680.4267782427,27243,2,4431.0,276.0,66975.0,27243,6.2288422477995935
97,27909,216472.90860215054,27909,12,39515.0,5999.0,48277.0,27909,15.181576616474755
98,28621,156633.02545454545,28621,4,10499.0,1835.0,47034.0,28621,17.477855033812745
99,28040,122258.7925170068,28040,1,7738.0,1283.0,38957.0,28040,16.580511760144738
100,28338,124774.47474747474,28338,2,4663.0,530.0,45260.0,28338,11.366073343341196
101,27822,189924.158974359,27822,4,8459.0,1215.0,47181.0,27822,14.363399929069633
102,27244,236222.9149659864,27244,4,15535.0,2031.0,57511.0,27244,13.073704538139687
103,27823,70285.49659863945,27823,3,7890.0,2148.0,31951.0,27823,27.224334600760454
104,28339,120001.76086956522,28339,3,7357.0,1380.0,40464.0,28339,18.7576457795297
105,28729,268300.92346938775,28729,1,3271.0,120.0,52702.0,28729,3.6686028737389176
106,28340,87622.5,28340,5,9657.0,2775.0,30026.0,28340,28.73563218390805
107,28730,391060.8134328358,28730,1,9248.0,649.0,62995.0,28730,7.017733564013841
109,27828,144589.58288770053,27828,4,9489.0,2519.0,37305.0,27828,26.546527558225318
110,28301,113731.80952380953,28301,15,17600.0,6167.0,26261.0,28301,35.03977272727273
110,28303,179251.16326530612,28303,9,29414.0,5981.0,39896.0,28303,20.333854627048346
110,28304,166848.7857142857,28304,15,36404.0,6624.0,48358.0,28304,18.195802659048454
110,28305,274623.2448979592,28305,4,5705.0,811.0,50020.0,28305,14.215600350569675
110,28306,207066.94217687074,28306,11,41944.0,7119.0,51597.0,28306,16.972630173564752
110,28311,195622.9319727891,28311,6,35641.0,5681.0,47534.0,28311,15.939507870149546
110,28312,210699.8843537415,28312,4,19196.0,3435.0,44683.0,28312,17.894352990206293
110,28314,155511.268707483,28314,6,58110.0,9818.0,47873.0,28314,16.89554293581139
111,28624,137279.4356846473,28624,1,1339.0,300.0,32432.0,28624,22.404779686333082
112,28731,471416.5816326531,28731,2,8354.0,792.0,55611.0,28731,9.480488388795788
113,28732,291163.7180451128,28732,2,17479.0,1305.0,59993.0,28732,7.466102179758567
114,28043,132558.08843537414,28043,7,21075.0,5102.0,35484.0,28043,24.208778173190986
115,27524,175096.38970588235,27524,3,13916.0,2157.0,48052.0,27524,15.500143719459613
116,27525,200032.96598639456,27525,5,14323.0,2295.0,51570.0,27525,16.02317950150108
117,27248,124749.67719298246,27248,2,4249.0,396.0,44832.0,27248,9.319839962344082
118,27830,138273.08843537414,27830,2,4841.0,834.0,44366.0,27830,17.227845486469732
119,27526,250377.66326530612,27526,6,47425.0,4218.0,76880.0,27526,8.894043226146547
120,27529,232556.25342465754,27529,12,48833.0,5650.0,60801.0,27529,11.570044846722505
121,27832,148869.261682243,27832,5,3001.0,507.0,36089.0,27832,16.894368543818732
122,28052,121953.31868131868,28052,13,35302.0,9109.0,36243.0,28052,25.80307064755538
122,28054,169453.58974358975,28054,7,37335.0,5830.0,43422.0,28054,15.615374313646713
122,28056,237693.7912087912,28056,5,34401.0,4085.0,63563.0,28056,11.87465480654632
123,27937,125038.85245901639,27937,1,4546.0,629.0,56523.0,27937,13.836339639243294
124,27938,133714.34065934067,27938,3,1261.0,47.0,47273.0,27938,3.727200634417129
125,27019,169170.17346938775,27019,1,4139.0,267.0,57075.0,27019,6.45083353467021
126,28343,108832.86413043478,28343,1,1404.0,315.0,39531.0,28343,22.43589743589744
127,27249,195785.09523809524,27249,3,12447.0,1961.0,54516.0,27249,15.754800353498835
128,28071,206919.43295019158,28071,1,2649.0,412.0,43551.0,28071,15.553038882597209
129,27530,169701.03741496598,27530,14,38865.0,9883.0,36283.0,27530,25.429049273124924
129,27534,191197.10204081633,27534,8,32233.0,3971.0,48270.0,27534,12.31967238544349
130,27252,216048.59615384616,27252,1,2509.0,492.0,51854.0,27252,19.609406137903548
131,27253,220756.28787878787,27253,11,30544.0,5421.0,44902.0,27253,17.748166579360927
132,28630,200056.45419847328,28630,6,20007.0,3167.0,50190.0,28630,15.829459689108813
133,27301,176677.9693877551,27301,4,8826.0,734.0,62490.0,27301,8.316338092000906
133,27401,134183.6156462585,27401,11,22105.0,4033.0,35153.0,27401,18.24474100882153
133,27403,254135.80272108843,27403,4,22569.0,5026.0,45566.0,27403,22.269484691390844
133,27405,137483.48979591837,27405,12,48990.0,12116.0,36462.0,27405,24.731577873035317
133,27406,171960.30952380953,27406,17,63465.0,14973.0,41097.0,27406,23.592531316473647
133,27407,198833.28231292518,27407,7,50288.0,8412.0,48127.0,27407,16.727648743238944
133,27408,322231.0442176871,27408,7,18090.0,1797.0,63965.0,27408,9.933665008291873
133,27409,205239.18707482994,27409,3,17532.0,2237.0,41455.0,27409,12.7595254391969
133,27410,243265.59863945577,27410,12,55519.0,4518.0,65755.0,27410,8.137754642554803
133,27455,318731.84013605444,27455,6,29020.0,1968.0,73263.0,27455,6.781529979324604
134,27834,192180.58375634518,27834,10,56458.0,15413.0,36360.0,27834,27.299939778242234
134,27858,244387.34517766497,27858,9,59652.0,15047.0,44751.0,27858,25.224636223429226
135,28530,125849.12313432836,28530,1,6457.0,1111.0,36357.0,28530,17.206132879045995
136,27837,250008.36040609138,27837,1,6463.0,1118.0,70453.0,27837,17.298468203620608
137,28073,117778.91496598639,28073,1,5366.0,836.0,39971.0,28073,15.579575102497206
138,27839,91212.25510204081,27839,2,3503.0,406.0,31051.0,27839,11.590065658007422
139,28345,80117.09465020576,28345,5,12107.0,3188.0,34918.0,28345,26.331874122408518
140,28443,306785.6989247312,28443,5,22138.0,1933.0,64317.0,28443,8.731592736471226
141,27020,152321.0218579235,27020,1,5717.0,990.0,39012.0,27020,17.316774532097252
142,28531,386564.0170068027,28531,1,1361.0,181.0,51111.0,28531,13.299044819985307
143,28634,172120.78879310345,28634,1,5230.0,1047.0,46447.0,28634,20.019120458891013
144,28075,255863.2142857143,28075,4,18621.0,827.0,99075.0,28075,4.441222275925031
145,28532,138939.06462585033,28532,9,22205.0,2741.0,50634.0,28532,12.344066651655032
146,27258,232268.80303030304,27258,1,7011.0,862.0,47336.0,27258,12.294965054913707
147,28635,134015.3775510204,28635,2,3162.0,637.0,29599.0,28635,20.14547754585705
148,27536,150635.26530612246,27536,7,16421.0,4882.0,29021.0,27536,29.730223494306074
148,27537,141470.14285714287,27537,11,24578.0,4936.0,42363.0,27537,20.08300105785662
149,28739,377868.3469387755,28739,1,21474.0,2160.0,53965.0,28739,10.05867560771165
149,28791,313462.73979591834,28791,5,14954.0,1160.0,53964.0,28791,7.757121840310285
149,28792,247475.16836734695,28792,9,34945.0,5441.0,45629.0,28792,15.570181714122192
150,27944,273033.77966101695,27944,2,11969.0,1862.0,46240.0,27944,15.556855209290669
150,27980,157369.90666666668,27980,1,1758.0,67.0,47946.0,27980,3.811149032992037
151,28601,234926.52721088435,28601,12,51706.0,6977.0,50821.0,28601,13.493598421846595
151,28602,177761.35714285713,28602,5,29105.0,4340.0,47493.0,28602,14.911527228998455
152,28636,139978.94852941178,28636,2,5013.0,922.0,43810.0,28636,18.39218033113904
153,27235,285872.46598639456,27235,1,4557.0,147.0,89214.0,27235,3.2258064516129035
153,27260,110732.71768707484,27260,6,25761.0,8719.0,27361.0,27260,33.84573580218159
153,27262,216669.97959183675,27262,9,24379.0,5009.0,39276.0,27262,20.546371877435497
153,27265,210413.53401360544,27265,9,50139.0,4609.0,60518.0,27265,9.192445002891963
153,27282,221384.57823129251,27282,7,17835.0,1576.0,68967.0,27282,8.836557331090553
154,27278,308965.2329749104,27278,12,26054.0,2705.0,71657.0,27278,10.382282950794504
155,28462,476891.42307692306,28462,2,12659.0,1842.0,41243.0,28462,14.550912394343946
156,27844,67557.4756097561,27844,2,2955.0,866.0,28170.0,27844,29.30626057529611
157,27540,290390.3163265306,27540,7,37520.0,1668.0,102268.0,27540,4.445628997867804
158,28348,178483.3605442177,28348,10,35673.0,4681.0,53090.0,28348,13.121968996159561
159,28743,213403.7650273224,28743,1,1987.0,580.0,38018.0,28743,29.1897332662305
160,28539,193086.85483870967,28539,1,15623.0,2282.0,52782.0,28539,14.606669653715675
161,28638,142383.2786259542,28638,6,11698.0,2024.0,41701.0,28638,17.30210292357668
162,28078,269493.1768707483,28078,12,60107.0,2987.0,95874.0,28078,4.9694711098540925
163,27541,257932.6326530612,27541,1,3718.0,548.0,64038.0,27541,14.739107046799354
164,28079,227330.26296296297,28079,7,36737.0,2317.0,78407.0,28079,6.306992949887034
165,28080,321240.5189873418,28080,2,7941.0,1505.0,53811.0,28080,18.95227301347437
166,28478,150179.66129032258,28478,1,5114.0,728.0,39906.0,28478,14.235432147047325
167,27845,87274.71333333333,27845,1,2876.0,598.0,33750.0,27845,20.79276773296245
168,28540,170498.56140350876,28540,13,48775.0,7251.0,49970.0,28540,14.86622245002563
168,28546,169921.26315789475,28546,10,46338.0,5525.0,46758.0,28546,11.923259527817345
169,27947,185168.25850340136,27947,1,1431.0,60.0,50417.0,27947,4.19287211740042
170,28642,99159.30645161291,28642,1,5890.0,1305.0,38750.0,28642,22.15619694397284
171,28081,199030.75170068027,28081,5,27557.0,5044.0,49743.0,28081,18.303879232137025
171,28083,150909.53401360544,28083,5,25540.0,3610.0,48103.0,28083,14.13469068128426
172,27542,163878.67039106146,27542,2,9953.0,1896.0,46332.0,27542,19.049532804179645
173,27284,214704.80952380953,27284,14,54413.0,6184.0,61071.0,27284,11.3649311745355
174,27948,323427.4379310345,27948,3,11118.0,1110.0,57445.0,27948,9.983810037776578
175,27021,175035.04421768707,27021,6,17539.0,2407.0,50123.0,27021,13.723701465305892
176,28086,155483.72448979592,28086,7,25037.0,4397.0,42571.0,28086,17.562008227822822
177,28501,95200.93513513514,28501,6,18334.0,5857.0,30053.0,28501,31.94611105050725
177,28504,156512.78504672897,28504,6,21852.0,3816.0,47856.0,28504,17.462932454695224
178,27544,187918.97282608695,27544,1,5027.0,890.0,56382.0,27544,17.70439626019495
179,27949,375940.24742268043,27949,1,7532.0,331.0,78191.0,27949,4.394583112055232
180,27545,210356.9319727891,27545,5,27186.0,1815.0,63683.0,27545,6.676230412712425
181,27950,231834.6768707483,27950,1,2073.0,252.0,58821.0,27950,12.156295224312592
182,28551,152806.6495327103,28551,3,15104.0,2366.0,37293.0,28551,15.664724576271185
183,28746,389705.27843137254,28746,1,2371.0,140.0,60400.0,28746,5.904681568958246
183,28756,321315.7840909091,28756,3,4715.0,264.0,49452.0,28756,5.59915164369035
184,28747,725807.7988826815,28747,1,2243.0,397.0,36653.0,28747,17.699509585376727
185,28088,175258.37647058823,28088,2,2746.0,373.0,53949.0,28088,13.583394027676619
186,28351,98439.20408163265,28351,2,4698.0,873.0,36949.0,28351,18.5823754789272
187,28352,137024.05782312926,28352,10,25760.0,6870.0,33657.0,28352,26.66925465838509
188,27022,170241.226519337,27022,2,1099.0,50.0,41078.0,27022,4.549590536851684
189,28748,266059.66171003715,28748,1,12613.0,1974.0,46075.0,28748,15.650519305478475
190,28451,311994.6298076923,28451,5,33435.0,4738.0,55357.0,28451,14.170779123672798
191,28645,173522.99236641222,28645,13,46604.0,8246.0,38697.0,28645,17.69376019225818
192,27023,302547.97959183675,27023,1,13088.0,911.0,75208.0,27023,6.96057457212714
193,27292,178763.17006802722,27292,16,39649.0,7520.0,41315.0,27292,18.966430426996894
193,27295,193566.60544217686,27295,11,38511.0,5256.0,49195.0,27295,13.648048609488196
194,27298,196359.73180076628,27298,3,10052.0,1586.0,45095.0,27298,15.777954635893355
195,27546,210043.99462365592,27546,5,21313.0,3777.0,48737.0,27546,17.72157837939286
196,28092,189093.7380952381,28092,15,39710.0,7532.0,47971.0,28092,18.96751447997985
197,28356,201309.05102040817,28356,1,4890.0,392.0,67609.0,28356,8.016359918200411
198,27850,352248.99319727893,27850,2,7244.0,987.0,42176.0,27850,13.625069022639424
199,28097,196644.9387755102,28097,2,6074.0,628.0,57782.0,28097,10.339150477444845
200,27549,196287.27027027027,27549,8,25645.0,4465.0,47667.0,27549,17.410801325794502
201,28098,160158.315018315,28098,2,3629.0,747.0,51206.0,28098,20.584182970515293
202,27024,169974.90760869565,27024,1,3148.0,557.0,41161.0,27024,17.69377382465057
203,27851,157024.82065217392,27851,2,5356.0,892.0,48547.0,27851,16.654219566840926
204,28357,111670.17142857143,28357,2,2682.0,738.0,32060.0,28357,27.51677852348993
205,28358,148481.5,28358,13,38760.0,10467.0,37858.0,28358,27.00464396284829
205,28360,142147.65151515152,28360,3,14931.0,3443.0,37608.0,28360,23.0594066037104
206,27025,162625.5174825175,27025,4,11387.0,1287.0,47147.0,27025,11.302362343022745
207,28650,165165.78911564627,28650,4,11106.0,1458.0,50092.0,28650,13.128038897893028
208,27954,369347.5778546713,27954,3,7389.0,372.0,52626.0,27954,5.034510759236703
209,28752,181120.26470588235,28752,11,30591.0,4972.0,41632.0,28752,16.25314635023373
210,28754,239452.22108843538,28754,2,10138.0,1781.0,45428.0,28754,17.567567567567572
