City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate,rooms
Ellenboro,28040,87105.42517,28040,1,7738,1283,38957,28040,16.58051176,3 bedroom
Ellerbe,28338,76776.40984,28338,2,4663,530,45260,28338,11.36607334,3 bedroom
Elm City,27822,109162.1585,27822,4,8459,1215,47181,27822,14.36339993,3 bedroom
Elon,27244,150062.8435,27244,4,15535,2031,57511,27244,13.07370454,3 bedroom
Enfield,27823,47664.76426,27823,3,7890,2148,31951,27823,27.2243346,3 bedroom
Erwin,28339,83378.93548,28339,3,7357,1380,40464,28339,18.75764578,3 bedroom
Etowah,28729,215792.7026,28729,1,3271,120,52702,28729,3.668602874,3 bedroom
Fairmont,28340,58573.5,28340,5,9657,2775,30026,28340,28.73563218,3 bedroom
Fairview,28730,259515.9962,28730,1,9248,649,62995,28730,7.017733564,3 bedroom
Farmville,27828,106026.538,27828,4,9489,2519,37305,27828,26.54652756,3 bedroom
Fayetteville,28301,61919.82313,28301,15,17600,6167,26261,28301,35.03977273,3 bedroom
Fayetteville,28303,104724.9048,28303,9,29414,5981,39896,28303,20.33385463,3 bedroom
Fayetteville,28304,91304.93878,28304,15,36404,6624,48358,28304,18.19580266,3 bedroom
Fayetteville,28305,129781.0578,28305,4,5705,811,50020,28305,14.21560035,3 bedroom
Fayetteville,28306,114846.8605,28306,11,41944,7119,51597,28306,16.97263017,3 bedroom
Fayetteville,28311,108021.7653,28311,6,35641,5681,47534,28311,15.93950787,3 bedroom
Fayetteville,28312,114104.6156,28312,4,19196,3435,44683,28312,17.89435299,3 bedroom
Fayetteville,28314,103629.915,28314,6,58110,9818,47873,28314,16.89554294,3 bedroom
Ferguson,28624,199964.4427,28624,1,1339,300,32432,28624,22.40477969,3 bedroom
Flat Rock,28731,234623.5354,28731,2,8354,792,55611,28731,9.480488389,3 bedroom
Fletcher,28732,201334.663,28732,2,17479,1305,59993,28732,7.46610218,3 bedroom
Forest City,28043,84677.05442,28043,7,21075,5102,35484,28043,24.20877817,3 bedroom
Fort Bragg,28307,70409.51852,28307,5,17830,1757,40559,28307,9.854178351,3 bedroom
Four Oaks,27524,126946.6949,27524,3,13916,2157,48052,27524,15.50014372,3 bedroom
Franklinton,27525,138326.5986,27525,5,14323,2295,51570,27525,16.0231795,3 bedroom
Franklinville,27248,112942.3158,27248,2,4249,396,44832,27248,9.319839962,3 bedroom
Fremont,27830,86480.16667,27830,2,4841,834,44366,27830,17.22784549,3 bedroom
Fuquay Varina,27526,177953.5451,27526,6,47425,4218,76880,27526,8.894043226,3 bedroom
Garner,27529,162528.7143,27529,12,48833,5650,60801,27529,11.57004485,3 bedroom
Gaston,27832,69458.73276,27832,5,3001,507,36089,27832,16.89436854,3 bedroom
Gastonia,28052,91542.23443,28052,13,35302,9109,36243,28052,25.80307065,3 bedroom
Gastonia,28054,121015.6337,28054,7,37335,5830,43422,28054,15.61537431,3 bedroom
Gastonia,28056,141845.9597,28056,5,34401,4085,63563,28056,11.87465481,3 bedroom
Gates,27937,112500.1749,27937,1,4546,629,56523,27937,13.83633964,3 bedroom
Gatesville,27938,95901.44199,27938,3,1261,47,47273,27938,3.727200634,3 bedroom
Germanton,27019,130451.4728,27019,1,4139,267,57075,27019,6.450833535,3 bedroom
Gibson,28343,53997.28571,28343,1,1404,315,39531,28343,22.43589744,3 bedroom
Gibsonville,27249,135029.7721,27249,3,12447,1961,54516,27249,15.75480035,3 bedroom
Gold Hill,28071,152500.6361,28071,1,2649,412,43551,28071,15.55303888,3 bedroom
Goldsboro,27530,108888.0748,27530,14,38865,9883,36283,27530,25.42904927,3 bedroom
Goldsboro,27534,124316.6531,27534,8,32233,3971,48270,27534,12.31967239,3 bedroom
Graham,27253,156045.9394,27253,11,30544,5421,44902,27253,17.74816658,3 bedroom
Granite Falls,28630,117855.3345,28630,6,20007,3167,50190,28630,15.82945969,3 bedroom
Greensboro,27301,138719.3469,27301,4,8826,734,62490,27301,8.316338092,3 bedroom
Greensboro,27401,94780.47279,27401,11,22105,4033,35153,27401,18.24474101,3 bedroom
Greensboro,27403,120808.4728,27403,4,22569,5026,45566,27403,22.26948469,3 bedroom
Greensboro,27405,105227.3095,27405,12,48990,12116,36462,27405,24.73157787,3 bedroom
Greensboro,27406,111167.9116,27406,17,63465,14973,41097,27406,23.59253132,3 bedroom
Greensboro,27407,119839.2857,27407,7,50288,8412,48127,27407,16.72764874,3 bedroom
Greensboro,27408,154445.4354,27408,7,18090,1797,63965,27408,9.933665008,3 bedroom
Greensboro,27409,142447.0034,27409,3,17532,2237,41455,27409,12.75952544,3 bedroom
Greensboro,27410,167749.102,27410,12,55519,4518,65755,27410,8.137754643,3 bedroom
Greensboro,27455,149885.2925,27455,6,29020,1968,73263,27455,6.781529979,3 bedroom
Greenville,27834,108743.1838,27834,10,56458,15413,36360,27834,27.29993978,3 bedroom
Greenville,27858,141921.3299,27858,9,59652,15047,44751,27858,25.22463622,3 bedroom
Grifton,28530,86813.96739,28530,1,6457,1111,36357,28530,17.20613288,3 bedroom
Grimesland,27837,141698.2081,27837,1,6463,1118,70453,27837,17.2984682,3 bedroom
Grover,28073,102260.1599,28073,1,5366,836,39971,28073,15.5795751,3 bedroom
Halifax,27839,55844.95582,27839,2,3503,406,31051,27839,11.59006566,3 bedroom
Hamlet,28345,64612.80952,28345,5,12107,3188,34918,28345,26.33187412,3 bedroom
Hampstead,28443,241056.5,28443,5,22138,1933,64317,28443,8.731592736,3 bedroom
Hamptonville,27020,125511.4698,27020,1,5717,990,39012,27020,17.31677453,3 bedroom
Harkers Island,28531,243556.3401,28531,1,1361,181,51111,28531,13.29904482,3 bedroom
Harmony,28634,140449.5129,28634,1,5230,1047,46447,28634,20.01912046,3 bedroom
Harrisburg,28075,185205.3299,28075,4,18621,827,99075,28075,4.441222276,3 bedroom
Havelock,28532,118365.5408,28532,9,22205,2741,50634,28532,12.34406665,3 bedroom
Haw River,27258,170831.7727,27258,1,7011,862,47336,27258,12.29496505,3 bedroom
Hays,28635,85304.50523,28635,2,3162,637,29599,28635,20.14547755,3 bedroom
Henderson,27536,62514.80612,27536,7,16421,4882,29021,27536,29.73022349,3 bedroom
Henderson,27537,95976.7449,27537,11,24578,4936,42363,27537,20.08300106,3 bedroom
Hendersonville,28739,240794.0459,28739,1,21474,2160,53965,28739,10.05867561,3 bedroom
Hendersonville,28791,219384.852,28791,5,14954,1160,53964,28791,7.75712184,3 bedroom
Hendersonville,28792,174779.6197,28792,9,34945,5441,45629,28792,15.57018171,3 bedroom
Hertford,27944,243829.9615,27944,2,11969,1862,46240,27944,15.55685521,3 bedroom
Hertford,27980,96273.27381,27980,1,1758,67,47946,27980,3.811149033,3 bedroom
Hickory,28601,134167.1361,28601,12,51706,6977,50821,28601,13.49359842,3 bedroom
Hickory,28602,125490.5782,28602,5,29105,4340,47493,28602,14.91152723,3 bedroom
Hiddenite,28636,116153.4469,28636,2,5013,922,43810,28636,18.39218033,3 bedroom
High Point,27235,176973.0986,27235,1,4557,147,89214,27235,3.225806452,3 bedroom
High Point,27260,72571.80612,27260,6,25761,8719,27361,27260,33.8457358,3 bedroom
High Point,27262,105458.7449,27262,9,24379,5009,39276,27262,20.54637188,3 bedroom
High Point,27265,134711.017,27265,9,50139,4609,60518,27265,9.192445003,3 bedroom
High Point,27282,152489.6293,27282,7,17835,1576,68967,27282,8.836557331,3 bedroom
Hillsborough,27278,193619.9715,27278,12,26054,2705,71657,27278,10.38228295,3 bedroom
Holden Beach,28462,249273.6731,28462,2,12659,1842,41243,28462,14.55091239,3 bedroom
