City,RegionName,avg,zip,count,City_category,population,poverty_count,median_household_income,zipcode,poverty_rate
Aberdeen,28315,216032.02551020408,28315,4,0,13700.0,2826.0,51725.0,28315,20.62773722627737
Advance,27006,322164.6195652174,27006,2,1,14555.0,932.0,78095.0,27006,6.403297835795258
Albemarle,28001,161291.03741496598,28001,8,2,26601.0,5208.0,45121.0,28001,19.578211345438138
Angier,27501,209262.44852941178,27501,5,3,21299.0,2601.0,56338.0,27501,12.21184093149913
Apex,27502,282296.24149659864,27502,7,4,40280.0,2248.0,110513.0,27502,5.580933465739823
Apex,27523,310453.2244897959,27523,3,4,11629.0,685.0,102368.0,27523,5.890446298047984
Apex,27539,338619.1700680272,27539,5,4,23436.0,1111.0,105526.0,27539,4.7405700631507095
Archdale,27263,175611.0068027211,27263,5,5,22028.0,3042.0,44454.0,27263,13.80969674959143
Arden,28704,330783.92910447763,28704,3,6,19060.0,1563.0,63223.0,28704,8.200419727177334
Ash,28420,192996.2122905028,28420,2,7,3845.0,639.0,53519.0,28420,16.618985695708712
Asheboro,27203,138211.53684210527,27203,8,8,21684.0,5360.0,34131.0,27203,24.71868658919018
Asheboro,27205,235137.42456140352,27205,7,8,34517.0,5316.0,47008.0,27205,15.401106701045858
Asheville,28801,316680.33208955225,28801,5,9,13683.0,3113.0,33504.0,28801,22.75085872981071
Asheville,28803,389884.9222222222,28803,9,9,33756.0,3072.0,50475.0,28803,9.100604337006754
Asheville,28804,391651.3222222222,28804,2,9,22189.0,2553.0,59855.0,28804,11.50570102302943
Asheville,28805,297884.8185185185,28805,3,9,19818.0,2187.0,49893.0,28805,11.035422343324251
Asheville,28806,227124.53159851301,28806,12,9,42650.0,6165.0,46726.0,28806,14.454865181711607
Atlantic,28511,128143.22047244094,28511,1,10,566.0,107.0,38125.0,28511,18.904593639575968
Aurora,27806,85419.84351145038,27806,1,11,2664.0,490.0,37582.0,27806,18.39339339339339
Ayden,28513,135224.90862944163,28513,3,12,10321.0,2091.0,48269.0,28513,20.259664761166555
Badin,28009,102933.86394557822,28009,1,13,1221.0,167.0,33261.0,28009,13.677313677313675
Bahama,27503,304297.59057971014,27503,1,14,6328.0,170.0,81016.0,27503,2.6864728192161818
Bailey,27807,169196.53846153847,27807,2,15,6415.0,866.0,45422.0,27807,13.499610288386593
Banner Elk,28604,279267.1258503401,28604,2,16,7635.0,918.0,51280.0,28604,12.023575638506875
Barco,27917,174539.56666666668,27917,3,17,734.0,391.0,29684.0,27917,53.26975476839236
Barnardsville,28709,268359.531598513,28709,1,18,2302.0,175.0,47250.0,28709,7.602085143353605
Bath,27808,279985.8185328185,27808,1,19,1939.0,169.0,48079.0,27808,8.715832903558535
Bayboro,28515,130243.23008849558,28515,4,20,2584.0,507.0,29292.0,28515,19.620743034055728
Bear Creek,27207,217760.20588235295,27207,1,21,3149.0,502.0,55625.0,27207,15.941568751984756
Beaufort,28516,286879.9557823129,28516,4,22,11268.0,1665.0,48668.0,28516,14.776357827476039
Belmont,28012,275177.65201465203,28012,7,23,22968.0,2135.0,66910.0,28012,9.29554162312783
Belwood,28090,111784.94897959183,28090,2,24,8473.0,2121.0,33151.0,28090,25.032456036822854
Bennett,27208,214590.25683060108,27208,2,25,1847.0,331.0,42128.0,27208,17.920952896589068
Benson,27504,198555.45955882352,27504,5,26,15182.0,3153.0,46944.0,27504,20.76801475431432
Bessemer City,28016,141872.9706959707,28016,5,27,13046.0,2484.0,44313.0,28016,19.040318871684807
Bethel,27812,109370.89304812835,27812,2,28,2762.0,694.0,38944.0,27812,25.126719768283852
Black Mountain,28711,299645.72222222225,28711,3,29,13398.0,880.0,45329.0,28711,6.568144499178983
Blowing Rock,28605,462486.2925170068,28605,1,30,3428.0,375.0,60172.0,28605,10.939323220536757
Boiling Spring Lakes,28461,473087.875,28461,4,31,19897.0,1471.0,64418.0,28461,7.393074332813993
Bolivia,28422,320426.21256038646,28422,4,32,8404.0,1810.0,45183.0,28422,21.53736316039981
Boomer,28606,76607.11764705883,28606,1,33,1689.0,265.0,31308.0,28606,15.689757252812312
Boone,28607,296618.8537414966,28607,5,34,35523.0,10533.0,41143.0,28607,29.651211890887595
Boonville,27011,133465.80666666667,27011,3,35,5380.0,906.0,37167.0,27011,16.840148698884757
Bostic,28018,144685.88095238095,28018,3,36,4699.0,757.0,36108.0,28018,16.109810597999573
Brevard,28712,290295.87978142075,28712,6,37,20017.0,2894.0,46490.0,28712,14.457710945696158
