City,RegionName,avg,zip,count,City_category,population,poverty_count,median_household_income,zipcode,poverty_rate
Aberdeen,28315,99995.51578947369,28315,4,0,13700.0,2826.0,51725.0,28315,20.62773722627737
Advance,27006,132251.4108108108,27006,2,1,14555.0,932.0,78095.0,27006,6.403297835795258
Albemarle,28001,58202.00680272109,28001,8,2,26601.0,5208.0,45121.0,28001,19.578211345438138
Angier,27501,101196.76666666666,27501,5,3,21299.0,2601.0,56338.0,27501,12.21184093149913
Apex,27502,155699.6198630137,27502,7,4,40280.0,2248.0,110513.0,27502,5.580933465739823
Apex,27523,287636.89455782314,27523,3,4,11629.0,685.0,102368.0,27523,5.890446298047984
Apex,27539,149820.27891156462,27539,5,4,23436.0,1111.0,105526.0,27539,4.7405700631507095
Archdale,27263,60574.80952380953,27263,5,5,22028.0,3042.0,44454.0,27263,13.80969674959143
Arden,28704,133441.9814814815,28704,3,6,19060.0,1563.0,63223.0,28704,8.200419727177334
Ash,28420,107964.64071856288,28420,2,7,3845.0,639.0,53519.0,28420,16.618985695708712
Asheboro,27203,65805.88095238095,27203,8,8,21684.0,5360.0,34131.0,27203,24.71868658919018
Asheboro,27205,88896.01403508772,27205,7,8,34517.0,5316.0,47008.0,27205,15.401106701045858
Asheville,28801,182192.95895522388,28801,5,9,13683.0,3113.0,33504.0,28801,22.75085872981071
Asheville,28803,144000.03703703705,28803,9,9,33756.0,3072.0,50475.0,28803,9.100604337006754
Asheville,28804,175129.8401486989,28804,2,9,22189.0,2553.0,59855.0,28804,11.50570102302943
Asheville,28805,153389.36296296297,28805,3,9,19818.0,2187.0,49893.0,28805,11.035422343324251
Asheville,28806,145226.98888888888,28806,12,9,42650.0,6165.0,46726.0,28806,14.454865181711607
Atlantic,28511,97336.06735751295,28511,1,10,566.0,107.0,38125.0,28511,18.904593639575968
Aurora,27806,33458.333333333336,27806,1,11,2664.0,490.0,37582.0,27806,18.39339339339339
Ayden,28513,50680.532608695656,28513,3,12,10321.0,2091.0,48269.0,28513,20.259664761166555
Badin,28009,37214.65405405405,28009,1,13,1221.0,167.0,33261.0,28009,13.677313677313675
Bahama,27503,132206.7046263345,27503,1,14,6328.0,170.0,81016.0,27503,2.6864728192161818
Bailey,27807,76130.17741935483,27807,2,15,6415.0,866.0,45422.0,27807,13.499610288386593
Banner Elk,28604,130213.47959183673,28604,2,16,7635.0,918.0,51280.0,28604,12.023575638506875
Barco,27917,116435.60884353741,27917,3,17,734.0,391.0,29684.0,27917,53.26975476839236
Barnardsville,28709,133146.72556390977,28709,1,18,2302.0,175.0,47250.0,28709,7.602085143353605
Bath,27808,145630.94537815126,27808,1,19,1939.0,169.0,48079.0,27808,8.715832903558535
Bayboro,28515,66164.80701754386,28515,4,20,2584.0,507.0,29292.0,28515,19.620743034055728
Bear Creek,27207,96883.24372759857,27207,1,21,3149.0,502.0,55625.0,27207,15.941568751984756
Beaufort,28516,137260.0850340136,28516,4,22,11268.0,1665.0,48668.0,28516,14.776357827476039
Belmont,28012,102069.07326007326,28012,7,23,22968.0,2135.0,66910.0,28012,9.29554162312783
Belwood,28090,64207.52721088436,28090,2,24,8473.0,2121.0,33151.0,28090,25.032456036822854
Bennett,27208,97622.10780669145,27208,2,25,1847.0,331.0,42128.0,27208,17.920952896589068
Benson,27504,82651.91176470589,27504,5,26,15182.0,3153.0,46944.0,27504,20.76801475431432
Bessemer City,28016,66083.09523809524,28016,5,27,13046.0,2484.0,44313.0,28016,19.040318871684807
Black Mountain,28711,162163.44402985074,28711,3,28,13398.0,880.0,45329.0,28711,6.568144499178983
Blowing Rock,28605,203150.1394557823,28605,1,29,3428.0,375.0,60172.0,28605,10.939323220536757
Boiling Spring Lakes,28461,179048.96634615384,28461,4,30,19897.0,1471.0,64418.0,28461,7.393074332813993
Bolivia,28422,126968.30769230769,28422,4,31,8404.0,1810.0,45183.0,28422,21.53736316039981
Boomer,28606,67403.70196078431,28606,1,32,1689.0,265.0,31308.0,28606,15.689757252812312
Boone,28607,166215.38775510204,28607,5,33,35523.0,10533.0,41143.0,28607,29.651211890887595
Boonville,27011,88752.90666666666,27011,3,34,5380.0,906.0,37167.0,27011,16.840148698884757
Bostic,28018,77430.30952380953,28018,3,35,4699.0,757.0,36108.0,28018,16.109810597999573
Brevard,28712,149766.69565217392,28712,6,36,20017.0,2894.0,46490.0,28712,14.457710945696158
Brevard,28772,133904.74316939892,28772,3,36,1061.0,51.0,45670.0,28772,4.806786050895382
Broadway,27505,85915.10869565218,27505,1,37,5862.0,898.0,47696.0,27505,15.31900375298533
Browns Summit,27214,78095.93197278911,27214,3,38,10773.0,781.0,67895.0,27214,7.24960549521953
Bunn,27508,79772.18579234973,27508,3,39,1326.0,163.0,42981.0,27508,12.292609351432882
Burgaw,28425,69603.24043715847,28425,6,40,11634.0,2161.0,40211.0,28425,18.574866769812623
Burlington,27215,97109.39115646259,27215,8,41,41204.0,6435.0,47420.0,27215,15.617415784875258
Burlington,27217,65132.03831417624,27217,7,41,37624.0,7957.0,40114.0,27217,21.14873485009568
Butner,27509,92363.92517006803,27509,2,42,6285.0,1325.0,41467.0,27509,21.081941129673826
Buxton,27920,229415.54347826086,27920,2,43,1327.0,542.0,48796.0,27920,40.84400904295404
Camden,27921,191515.07079646018,27921,5,44,4889.0,595.0,63563.0,27921,12.170177950501126
Cameron,28326,88312.97872340426,28326,5,45,23385.0,3280.0,61299.0,28326,14.026085097284586
Candler,28715,133210.276119403,28715,5,46,26318.0,3319.0,53594.0,28715,12.611140664184209
Canton,28716,117080.375,28716,5,47,17807.0,2681.0,49018.0,28716,15.055876902341776
Carolina Beach,28428,233397.10869565216,28428,1,48,6533.0,603.0,71250.0,28428,9.230062758303994
Carrboro,27510,159178.11297071129,27510,3,49,15528.0,2471.0,53155.0,27510,15.91318907779495
Cary,27511,131186.03741496598,27511,7,50,34525.0,3653.0,74339.0,27511,10.580738595220852
Cary,27513,140526.10204081633,27513,7,50,44821.0,2443.0,92858.0,27513,5.45057004529127
Cary,27518,141988.8184931507,27518,1,50,20875.0,918.0,106833.0,27518,4.3976047904191615
Cary,27519,217218.9455782313,27519,11,50,55111.0,1916.0,130337.0,27519,3.4766199125401465
Casar,28020,77218.04887218046,28020,1,51,2082.0,301.0,42700.0,28020,14.457252641690678
Cashiers,28717,284016.31147540984,28717,3,52,1640.0,240.0,41108.0,28717,14.634146341463413
Castle Hayne,28429,140612.3346456693,28429,3,53,7525.0,707.0,49346.0,28429,9.395348837209305
Catawba,28609,110627.25631768953,28609,3,54,5788.0,467.0,59495.0,28609,8.068417415342086
Chapel Hill,27514,170009.32217573223,27514,5,55,32304.0,3901.0,70849.0,27514,12.075903912828133
Chapel Hill,27516,212048.07553956835,27516,13,55,41551.0,5747.0,85615.0,27516,13.83119539842603
Chapel Hill,27517,184342.07829181495,27517,5,55,24092.0,2085.0,84940.0,27517,8.654325087165864
Charlotte,28202,261665.14285714287,28202,4,56,12745.0,1354.0,90972.0,28202,10.623774029030992
Charlotte,28203,226871.62585034015,28203,2,56,15946.0,2313.0,81094.0,28203,14.505205067101466
Charlotte,28204,211772.04421768707,28204,3,56,6725.0,1148.0,61700.0,28204,17.070631970260223
Charlotte,28205,152113.8605442177,28205,11,56,48539.0,10702.0,49378.0,28205,22.04824986093657
Charlotte,28206,74501.91126279863,28206,6,56,11919.0,3480.0,31617.0,28206,29.197080291970803
Charlotte,28207,192888.48299319728,28207,2,56,9539.0,485.0,129886.0,28207,5.08439039731628
Charlotte,28208,70714.77891156463,28208,11,56,39700.0,9954.0,34925.0,28208,25.073047858942065
Charlotte,28209,165192.5,28209,6,56,22694.0,2830.0,72535.0,28209,12.47025645545078
Charlotte,28210,128704.39115646259,28210,8,56,48304.0,5086.0,68692.0,28210,10.529148724743294
Charlotte,28211,134058.9081632653,28211,8,56,30789.0,3507.0,84366.0,28211,11.390431647666373
Charlotte,28212,81837.39795918367,28212,8,56,45694.0,11593.0,39439.0,28212,25.370945857224147
Charlotte,28213,96580.61904761905,28213,4,56,40724.0,8142.0,43984.0,28213,19.993124447500247
Charlotte,28214,103719.52380952382,28214,8,56,41356.0,5248.0,60837.0,28214,12.68981526259793
Charlotte,28215,76445.3231292517,28215,10,56,62533.0,10998.0,50305.0,28215,17.587513792717445
Charlotte,28216,94921.6836734694,28216,8,56,51116.0,7238.0,48647.0,28216,14.159949917833949
Charlotte,28217,74774.80952380953,28217,3,56,29410.0,6806.0,49230.0,28217,23.141788507310444
